Name,Continent,Population
Libyan Arab Jamahiriya,Africa,5605000
Paraguay,South America,5496000
Laos,Asia,5433000
Slovakia,Europe,5398700
Denmark,Europe,5330000
Finland,Europe,5171300
Jordan,Asia,5083000
Nicaragua,North America,5074000
Georgia,Asia,4968000
Sierra Leone,Africa,4854000
Papua New Guinea,Oceania,4807000
Kyrgyzstan,Asia,4699000
Togo,Africa,4629000
Norway,Europe,4478500
Croatia,Europe,4473000
Turkmenistan,Asia,4459000
Moldova,Europe,4380000
Costa Rica,North America,4023000
Bosnia and Herzegovina,Europe,3972000
Puerto Rico,North America,3869000
New Zealand,Oceania,3862000
Eritrea,Africa,3850000
Ireland,Europe,3775100
Lithuania,Europe,3698500
Central African Republic,Africa,3615000
Singapore,Asia,3567000
Armenia,Asia,3520000
Albania,Europe,3401200
Uruguay,South America,3337000
Lebanon,Asia,3282000
Liberia,Africa,3154000
Palestine,Asia,3101000
Congo,Africa,2943000
Panama,North America,2856000
Mauritania,Africa,2670000
Mongolia,Asia,2662000
Jamaica,North America,2583000
Oman,Asia,2542000
United Arab Emirates,Asia,2441000
Latvia,Europe,2424200
Lesotho,Africa,2153000
Bhutan,Asia,2124000
Macedonia,Europe,2024000
Slovenia,Europe,1987800
Kuwait,Asia,1972000
Namibia,Africa,1726000
Botswana,Africa,1622000
Estonia,Europe,1439200
Gambia,Africa,1305000
Trinidad and Tobago,North America,1295000
Gabon,Africa,1226000
Guinea-Bissau,Africa,1213000
Mauritius,Africa,1158000
Swaziland,Africa,1008000
East Timor,Asia,885000
Guyana,South America,861000
Fiji Islands,Oceania,817000
Cyprus,Asia,754700
Réunion,Africa,699000
Djibouti,Africa,638000
Bahrain,Asia,617000
Qatar,Asia,599000
Comoros,Africa,578000
Macao,Asia,473000
Guadeloupe,North America,456000
Equatorial Guinea,Africa,453000
Solomon Islands,Oceania,444000
Luxembourg,Europe,435700
Cape Verde,Africa,428000
Suriname,South America,417000
Martinique,North America,395000
Malta,Europe,380200
Brunei,Asia,328000
Bahamas,North America,307000
Western Sahara,Africa,293000
Maldives,Asia,286000
Iceland,Europe,279000
Barbados,North America,270000
Belize,North America,241000
French Polynesia,Oceania,235000
Netherlands Antilles,North America,217000
New Caledonia,Oceania,214000
Vanuatu,Oceania,190000
French Guiana,South America,181000
Samoa,Oceania,180000
Guam,Oceania,168000
Saint Lucia,North America,154000
Mayotte,Africa,149000
Sao Tome and Principe,Africa,147000
"Micronesia, Federated States of",Oceania,119000
Saint Vincent and the Grenadines,North America,114000
Aruba,North America,103000
Tonga,Oceania,99000
Grenada,North America,94000
"Virgin Islands, U.S.",North America,93000
Kiribati,Oceania,83000
Andorra,Europe,78000
Northern Mariana Islands,Oceania,78000
Seychelles,Africa,77000
Dominica,North America,71000
American Samoa,Oceania,68000
Antigua and Barbuda,North America,68000
Bermuda,North America,65000
Marshall Islands,Oceania,64000
Greenland,North America,56000
Faroe Islands,Europe,43000
Cayman Islands,North America,38000
Saint Kitts and Nevis,North America,38000
Monaco,Europe,34000
Liechtenstein,Europe,32300
San Marino,Europe,27000
Gibraltar,Europe,25000
"Virgin Islands, British",North America,21000
Cook Islands,Oceania,20000
Palau,Oceania,19000
Turks and Caicos Islands,North America,17000
Wallis and Futuna,Oceania,15000
Nauru,Oceania,12000
Tuvalu,Oceania,12000
Montserrat,North America,11000
Anguilla,North America,8000
Saint Pierre and Miquelon,North America,7000
Saint Helena,Africa,6000
Svalbard and Jan Mayen,Europe,3200
Christmas Island,Oceania,2500
Falkland Islands,South America,2000
Norfolk Island,Oceania,2000
Niue,Oceania,2000
Tokelau,Oceania,2000
Holy See (Vatican City State),Europe,1000
Cocos (Keeling) Islands,Oceania,600
Pitcairn,Oceania,50
Antarctica,Antarctica,0
French Southern territories,Antarctica,0
Bouvet Island,Antarctica,0
Heard Island and McDonald Islands,Antarctica,0
British Indian Ocean Territory,Africa,0
South Georgia and the South Sandwich Islands,Antarctica,0
United States Minor Outlying Islands,Oceania,0
